,YRN-16 01,YRN-16 02,YRN-16 03,YRN-16 04,YRN-16 05,T(YRN) YRN-16-1908 1,T(YRN) YRN-16-1908 2,T(YRN) YRN-16-1908 3,T(YRN) YRN-16-1908 4,T(YRN) YRN-16-1908 5
0,-1.758775546,-0.667224267,-1.528003266,-3.949310968,-1.470475602,-2.088921525,-3.397393543,-3.655033525,-0.659252185,-2.174639135
0.086843248,-1.756715722,-0.706631315,-1.521071344,-3.605806966,-1.432709252,-2.096881925,-3.348183246,-3.607490609,-0.696904533,-2.127768887
0.173686496,-1.754655898,-0.746038363,-1.514139422,-3.262302963,-1.394942902,-2.104842324,-3.298972949,-3.559947693,-0.734556882,-2.080898638
0.260529744,-1.752596074,-0.785445411,-1.5072075,-2.918798961,-1.357176551,-2.112802724,-3.249762652,-3.512404777,-0.77220923,-2.034028389
0.347372992,-1.75053625,-0.824852459,-1.500275579,-2.575294959,-1.319410201,-2.120763123,-3.200552355,-3.464861861,-0.809861578,-1.98715814
0.43421624,-1.748476426,-0.864259508,-1.493343657,-2.231790956,-1.28164385,-2.128723523,-3.151342057,-3.417318945,-0.847513927,-1.940287891
0.521059488,-1.746416602,-0.903666556,-1.486411735,-1.888286954,-1.2438775,-2.136683923,-3.10213176,-3.369776029,-0.885166275,-1.893417642
0.607902736,-1.744356778,-0.943073604,-1.479479813,-1.544782951,-1.20611115,-2.144644322,-3.052921463,-3.322233113,-0.922818623,-1.846547393
0.694745983,-1.742296954,-0.982480652,-1.472547891,-1.201278949,-1.168344799,-2.152604722,-3.003711166,-3.274690197,-0.960470972,-1.799677144
0.781589231,-1.74023713,-1.0218877,-1.465615969,-0.857774946,-1.130578449,-2.160565121,-2.954500869,-3.227147281,-0.99812332,-1.752806895
0.868432479,-1.738177307,-1.061294748,-1.458684047,-0.514270944,-1.092812098,-2.168525521,-2.905290572,-3.179604365,-1.035775668,-1.705936647
0.955275727,-1.736117483,-1.100701796,-1.451752125,-0.220737773,-1.055045748,-2.176485921,-2.856080275,-3.132061449,-1.073428016,-1.659066398
